Cell id,24:f2:7f:10:01:00,24:f2:7f:10:01:01,c4:e9:0a:41:13:4c,90:32:4b:10:58:f4,24:f2:7f:10:01:10,24:f2:7f:10:01:11,24:f2:7f:10:01:12,24:f2:7f:0f:f3:91,24:f2:7f:0f:f3:92,24:f2:7f:0f:f3:90,fa:a6:54:1d:c3:cb,70:4f:57:21:0d:a0,24:f2:7f:10:18:81,24:f2:7f:10:18:82,24:f2:7f:10:17:a2,24:f2:7f:10:18:80,24:f2:7f:10:17:a0,24:f2:7f:0f:f3:82,24:f2:7f:0f:f3:80,24:f2:7f:0f:f3:81,24:f2:7f:10:17:a1,e2:1c:fc:38:51:78,10:be:f5:94:e2:c6,e0:1c:fc:a8:07:68,e8:48:b8:69:3b:ca,24:f2:7f:10:19:32,24:f2:7f:0f:fa:31,24:f2:7f:10:0f:61,f4:8c:eb:19:5b:df,24:f2:7f:10:19:30,24:f2:7f:10:19:31,24:f2:7f:0f:fa:32,24:f2:7f:10:04:62,24:f2:7f:10:0f:62,e8:9f:80:3b:4e:42,24:f2:7f:10:12:c1,24:f2:7f:10:0f:60,24:f2:7f:10:18:90,24:f2:7f:10:18:91,24:f2:7f:10:18:92,24:f2:7f:0f:fa:30,78:32:1b:62:b5:b6,20:89:8a:ad:1a:02,24:f2:7f:10:17:b1,24:f2:7f:10:17:b2,24:f2:7f:10:01:02,24:f2:7f:10:19:21,24:f2:7f:10:19:22,24:f2:7f:10:19:20,24:f2:7f:10:12:c2,44:95:3b:9d:16:60,c4:e9:0a:40:9a:56,24:f2:7f:10:12:c0,58:d5:6e:d7:06:a0,24:f2:7f:0f:fa:22,24:f2:7f:10:0e:a0,24:f2:7f:10:0e:a2,56:cb:24:85:34:b6,24:f2:7f:10:0f:71,24:f2:7f:10:0f:72,24:f2:7f:0f:fa:21,24:f2:7f:0f:fa:20,da:0f:99:35:cc:10,00:06:ae:dc:d2:f9,24:f2:7f:10:04:61,24:f2:7f:10:18:a1,24:f2:7f:10:18:a0,24:f2:7f:10:18:a2,24:f2:7f:10:04:71,cc:88:c7:82:ae:d1,bc:f8:8b:91:ac:21,06:21:89:ce:f6:68,cc:88:c7:82:ae:c1,24:f2:7f:10:17:42,24:f2:7f:10:05:c2,24:f2:7f:10:05:c1,24:f2:7f:10:05:c0,f8:0d:a9:f4:b7:e6,24:f2:7f:0f:de:60,24:f2:7f:0f:de:61,24:f2:7f:0f:de:62,24:f2:7f:10:17:41,bc:62:d2:8e:15:e8,a8:da:0c:91:8f:ac,24:f2:7f:10:17:b0,a8:da:0c:91:8f:ad,24:f2:7f:10:17:40,24:f2:7f:10:1a:a0,24:f2:7f:10:04:60,24:f2:7f:10:1a:a1,24:f2:7f:10:1a:a2,d6:be:a9:69:f8:3b,82:fb:f9:56:1e:90,e8:de:27:96:6a:6c,24:f2:7f:10:05:d0,24:f2:7f:10:05:d2,24:f2:7f:10:05:d1,24:f2:7f:0f:f9:62,cc:88:c7:82:ae:c0,12:b1:df:e2:d6:b0,24:f2:7f:0f:f9:61,24:f2:7f:0f:f9:60,24:f2:7f:10:11:e1,24:f2:7f:10:11:e2,24:f2:7f:10:11:e0,78:54:2e:f7:aa:28,24:f2:7f:10:0f:70
R1,-37,-37,-49,-57,-64,-64,-66,-70,-70,-71,-72,-72,-72,-74,-75,-75,-76,-77,-77,-79,-79,-79,-81,-83,-84,-84,-84,-84,-84,-84,-85,-85,-85,-85,-85,-85,-86,-87,-87,-87,-88,-88,-89,-90,-90,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
R1,-37,-37,-49,-57,-64,-64,-66,-70,-70,-71,-72,-72,-72,-74,-75,-75,-76,-77,-77,-79,-79,-79,-81,-83,-84,-84,-84,-84,-84,-84,-85,-85,-85,-85,-85,-85,-86,-87,-87,-87,-88,-88,-89,-90,-90,-36,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
R1,-37,-37,-49,-57,-64,-64,-66,-70,-70,-71,-72,-72,-72,-74,-75,-75,-76,-77,-77,-79,-79,-79,-81,-83,-84,-84,-84,-84,-84,-84,-85,-85,-85,-85,-85,-85,-86,-87,-87,-87,-88,-88,-89,-90,-90,-36,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
R1,-37,-37,-49,-57,-64,-64,-66,-70,-70,-71,-72,-72,-72,-74,-75,-75,-76,-77,-77,-79,-79,-79,-81,-83,-84,-84,-84,-84,-84,-84,-85,-85,-85,-85,-85,-85,-86,-87,-87,-87,-88,-88,-89,-90,-90,-36,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
R1,-37,-37,-49,-57,-64,-64,-66,-70,-70,-71,-72,-72,-72,-74,-75,-75,-76,-77,-77,-79,-79,-79,-81,-83,-84,-84,-84,-84,-84,-84,-85,-85,-85,-85,-85,-85,-86,-87,-87,-87,-88,-88,-89,-90,-90,-36,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
R1,-37,-37,-49,-57,-64,-64,-66,-70,-70,-71,-72,-72,-72,-74,-75,-75,-76,-77,-77,-79,-79,-79,-81,-83,-84,-84,-84,-84,-84,-84,-85,-85,-85,-85,-85,-85,-86,-87,-87,-87,-88,-88,-89,-90,-90,-36,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
R1,-37,-37,-49,-57,-64,-64,-66,-70,-70,-71,-72,-72,-72,-74,-75,-75,-76,-77,-77,-79,-79,-79,-81,-83,-84,-84,-84,-84,-84,-84,-85,-85,-85,-85,-85,-85,-86,-87,-87,-87,-88,-88,-89,-90,-90,-36,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
R1,-37,-37,-49,-57,-64,-64,-66,-70,-70,-71,-72,-72,-72,-74,-75,-75,-76,-77,-77,-79,-79,-79,-81,-83,-84,-84,-84,-84,-84,-84,-85,-85,-85,-85,-85,-85,-86,-87,-87,-87,-88,-88,-89,-90,-90,-36,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
R1,-37,-37,-49,-57,-64,-64,-66,-70,-70,-71,-72,-72,-72,-74,-75,-75,-76,-77,-77,-79,-79,-79,-81,-83,-84,-84,-84,-84,-84,-84,-85,-85,-85,-85,-85,-85,-86,-87,-87,-87,-88,-88,-89,-90,-90,-36,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
R1,-37,-37,-49,-57,-64,-64,-66,-70,-70,-71,-72,-72,-72,-74,-75,-75,-76,-77,-77,-79,-79,-79,-81,-83,-84,-84,-84,-84,-84,-84,-85,-85,-85,-85,-85,-85,-86,-87,-87,-87,-88,-88,-89,-90,-90,-36,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
